names,Dice,IoU,Prec,Rec
347.mat,0.9265997490589711,0.8632378725891292,0.9557808455565142,0.8991477272727273
348.mat,0.9138040042149631,0.8412883197516492,0.9682894149173739,0.86512370311253
349.mat,0.8181401740723775,0.6922480620155039,1.0,0.6922480620155039
350.mat,0.8033422858848105,0.6713216957605985,0.996299037749815,0.673
351.mat,0.9254958877600387,0.8613237280504278,0.9750254841997962,0.8807550644567219
352.mat,0.0,0.0,0.0,0.0
353.mat,0.0,0.0,0.0,0.0
354.mat,0.0,0.0,0.0,0.0
355.mat,0.0,0.0,0.0,0.0
356.mat,0.9489979599183967,0.9029458780543503,0.985543369890329,0.9150659569544087
357.mat,0.6227164416203336,0.45213379469434833,0.9702970297029703,0.4584795321637427
358.mat,0.9006538032211768,0.8192631273571221,0.8554983338382308,0.9508417508417508
359.mat,0.9349126877518622,0.8777803256133915,0.9259796806966618,0.944019728729963
360.mat,0.9181050312155711,0.8486082824168364,0.9986684420772304,0.8495695514272769
361.mat,0.7081698789015862,0.5481911803538421,0.9971181556195965,0.5490610949484264
362.mat,0.0,0.0,0.0,0.0
363.mat,0.0,0.0,0.0,0.0
364.mat,0.0,0.0,0.0,0.0
365.mat,0.0,0.0,0.0,0.0
366.mat,0.8516218081435473,0.7415865384615384,0.9848363926576217,0.7501519756838906
367.mat,0.9228874106922887,0.8568161024702653,0.9780678851174934,0.8736007462686567
368.mat,0.9071332436069987,0.8300492610837439,0.9858605558264262,0.8400498545907769
369.mat,0.7898176814585484,0.6526435474701535,0.9871023215821152,0.658256880733945
370.mat,0.0,0.0,0.0,0.0
371.mat,0.924179104477612,0.8590455049944506,0.9760403530895334,0.8775510204081632
372.mat,0.0,0.0,0.0,0.0
373.mat,0.0,0.0,0.0,0.0
374.mat,0.0,0.0,0.0,0.0
375.mat,0.9356243269816003,0.8790358054016011,0.9776908023483366,0.8970284585689918
376.mat,0.9254427645788337,0.861231709278019,0.9881918819188192,0.8701868399675061
377.mat,0.0,0.0,0.0,0.0
378.mat,0.7860073999327278,0.647456500055414,0.9976092896174863,0.6484626484626484
379.mat,0.8324651319106032,0.7130109383995394,0.9880335061826885,0.7192218350754936
380.mat,0.9531556802244039,0.9105037513397642,0.9750358680057388,0.9322359396433471
381.mat,0.9257367387033398,0.8617410387710315,0.8897280966767371,0.9647829647829648
382.mat,0.8894450169291919,0.8009013785790032,0.9770375161707633,0.8162658740880843
